"from Loehle, E&E Nov. 2007", 
calendar date,dev. deg C
213,-0.3545336576376503
214,-0.3461600944192597
215,-0.3389180358012796
216,-0.3293529701198342
217,-0.3230598666715581
218,-0.3185910209860698
219,-0.3051140094918167
220,-0.2962977122832788
221,-0.2777659074215579
222,-0.2641337235135125
223,-0.2539440683410977
224,-0.245102965601731
225,-0.251510104717634
226,-0.2377519318560133
227,-0.2306547157610293
228,-0.2199274430337555
229,-0.2040920198362639
230,-0.1967471922500563
231,-0.1920098120245075
232,-0.1838060502690212
233,-0.1733358308332849
234,-0.1622044752832863
235,-0.1474859352026763
236,-0.1246025671916738
237,-0.1203460131728526
238,-0.1458159372188156
239,-0.1530851679880449
240,-0.1567391568767051
241,-0.2207440120410619
242,-0.231605506293935
243,-0.2355411384778439
244,-0.2380465765665786
245,-0.242387216960668
246,-0.2459362317389927
247,-0.2392847363366937
248,-0.2424755409343945
249,-0.2478711348041265
250,-0.2481366091218626
251,-0.2520353160184138
252,-0.2565617767463834
253,-0.2488042165934741
254,-0.2480930096969221
255,-0.2510293722448149
256,-0.23118930489161
257,-0.2279966071228476
258,-0.2252420432283236
259,-0.2167234343719684
260,-0.2113542660149706
261,-0.2081068015119277
262,-0.2065895601326166
263,-0.196765386365579
264,-0.196548347826025
265,-0.2145919725570084
266,-0.2079246708748596
267,-0.2034785501852045
268,-0.1827031069852745
269,-0.1669313228973173
270,-0.08853076671139259
271,-0.1164123470056087
272,-0.103663079896428
273,-0.1017002151749419
274,-0.09683284116963722
275,-0.09018466846111948
276,-0.07668134709600137
277,-0.07482913034723254
278,-0.07358282492851429
279,-0.0650621972586184
280,-0.05839102736251117
281,-0.057377764763042
282,-0.04828998786687394
283,-0.05024224250878254
284,-0.05474622128862331
285,-0.05276659170719032
286,-0.07329486172225149
287,-0.08145931795567293
288,-0.08194923601629806
289,-0.08558643023969911
290,-0.09001879098240421
291,-0.09253605087810117
292,-0.09556906001455907
293,-0.09122570605051591
294,-0.09505329225741193
295,-0.08847383608806339
296,-0.09209039960117904
297,-0.09280127493274432
298,-0.09181587822100092
299,-0.08952337761815518
300,-0.05563380849567448
301,-0.07207301529818933
302,-0.07075929453619203
303,-0.06956324920221543
304,-0.07443287911760088
305,-0.07463832974399434
306,-0.07549151678683659
307,-0.07618404552246867
308,-0.07431931682246789
309,-0.06656461462811097
310,-0.0655330054327083
311,-0.07535320552293828
312,-0.07183152318229121
313,-0.06728554617079625
314,-0.06647566935642884
315,-0.0358592826099308
316,-0.03283819398069172
317,-0.03169067262520565
318,-0.02697479915698117
319,-0.03224209181375586
320,-0.02805176693010937
321,-0.02133912325194768
322,-0.01461211175769665
323,-0.02174665990059055
324,-0.01861447599254338
325,-0.01342847808240754
326,0.001814362782702156
327,0.0003778644942404063
328,0.00384953075901148
329,0.009170485666172029
